"No.","Time","Source","Destination","Protocol","Length","Info"
"393","1.567094","192.168.123.8","192.168.123.23","TCP","74","58876  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3761604734 TSecr=0 WS=128"
"394","1.567144","192.168.123.23","192.168.123.8","TCP","74","666  >  58876 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1496486739 TSecr=3761604734 WS=128"
"395","1.567183","192.168.123.8","192.168.123.23","TCP","66","58876  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3761604735 TSecr=1496486739"
"396","1.567601","192.168.123.8","192.168.123.23","TLSv1.3","353","Client Hello"
"397","1.567689","192.168.123.23","192.168.123.8","TCP","66","666  >  58876 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=1496486740 TSecr=3761604735"
"398","1.568600","192.168.123.23","192.168.123.8","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"399","1.568631","192.168.123.8","192.168.123.23","TCP","66","58876  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=3761604736 TSecr=1496486741"
"400","1.576461","192.168.123.8","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"401","1.576500","192.168.123.23","192.168.123.8","TCP","66","666  >  58876 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=1496486749 TSecr=3761604744"
"402","1.577100","192.168.123.23","192.168.123.8","TLSv1.3","769","Application Data"
"403","1.577166","192.168.123.8","192.168.123.23","TCP","66","58876  >  666 [ACK] Seq=978 Ack=2102 Win=63488 Len=0 TSval=3761604744 TSecr=1496486749"
"404","1.577247","192.168.123.23","192.168.123.8","TLSv1.3","769","Application Data"
"405","1.577272","192.168.123.8","192.168.123.23","TCP","66","58876  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=3761604745 TSecr=1496486750"
"408","1.727728","192.168.123.32","192.168.123.23","TCP","74","43562  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2246071021 TSecr=0 WS=128"
"409","1.727761","192.168.123.23","192.168.123.32","TCP","74","666  >  43562 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=4230177083 TSecr=2246071021 WS=128"
"410","1.727789","192.168.123.32","192.168.123.23","TCP","66","43562  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2246071022 TSecr=4230177083"
"411","1.728052","192.168.123.32","192.168.123.23","TLSv1.3","353","Client Hello"
"412","1.728159","192.168.123.23","192.168.123.32","TCP","66","666  >  43562 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=4230177083 TSecr=2246071022"
"413","1.728993","192.168.123.23","192.168.123.32","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"414","1.729030","192.168.123.32","192.168.123.23","TCP","66","43562  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2246071023 TSecr=4230177084"
"415","1.730713","192.168.123.32","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"416","1.730751","192.168.123.23","192.168.123.32","TCP","66","666  >  43562 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=4230177086 TSecr=2246071025"
"417","1.731402","192.168.123.23","192.168.123.32","TLSv1.3","769","Application Data"
"418","1.731441","192.168.123.32","192.168.123.23","TCP","66","43562  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=2246071026 TSecr=4230177087"
"419","1.731555","192.168.123.23","192.168.123.32","TLSv1.3","769","Application Data"
"420","1.731573","192.168.123.32","192.168.123.23","TCP","66","43562  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=2246071026 TSecr=4230177087"
"423","1.744704","192.168.123.10","192.168.123.23","TCP","74","33564  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3191997609 TSecr=0 WS=128"
"424","1.744738","192.168.123.23","192.168.123.10","TCP","74","666  >  33564 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1882036079 TSecr=3191997609 WS=128"
"425","1.744765","192.168.123.10","192.168.123.23","TCP","66","33564  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3191997610 TSecr=1882036079"
"426","1.745026","192.168.123.10","192.168.123.23","TLSv1.3","353","Client Hello"
